X--_uc251498ff9 1::[V(_uc263a294881)],Y--_uc251498ff9 1::[V(_uc263a294881)],,X--_uc251498ff9 2::[V(_uc263a294882)],Y--_uc251498ff9 2::[V(_uc263a294882)]
0.00347224,0.0373117,,0.00347224,3.23442
0.00348224,0.037311,,0.00348224,3.29056
0.00349224,0.0373102,,0.00349224,3.34675
0.00350224,0.0373094,,0.00350224,3.40301
0.00351224,0.0373087,,0.00351224,3.45929
0.00352224,0.0373079,,0.00352224,3.51558
0.00353224,0.0373071,,0.00353224,3.57191
0.00354224,0.0373064,,0.00354224,3.62827
0.00355224,0.0373056,,0.00355224,3.68469
0.00356224,0.0373049,,0.00356224,3.74114
0.00357224,0.0373041,,0.00357224,3.79763
0.00358224,0.0373033,,0.00358224,3.85415
0.00359224,0.0373026,,0.00359224,3.91069
0.00360224,0.0373018,,0.00360224,3.96727
0.00361224,0.0373011,,0.00361224,4.02387
0.00362224,0.0373003,,0.00362224,4.0805
0.00363224,0.0372996,,0.00363224,4.13716
0.00364224,0.0372988,,0.00364224,4.19383
0.00365224,0.0372981,,0.00365224,4.25053
0.00366224,0.0372973,,0.00366224,4.30725
0.00367224,0.0372966,,0.00367224,4.36399
0.00368224,0.0372958,,0.00368224,4.42074
0.00369224,0.0372951,,0.00369224,4.47751
0.00370224,0.0372943,,0.00370224,4.53431
0.00371224,0.0372936,,0.00371224,4.59113
0.00372224,0.0372928,,0.00372224,4.64798
0.00373224,0.0372921,,0.00373224,4.70484
0.00374224,0.0372913,,0.00374224,4.76172
0.00375224,0.0372906,,0.00375224,4.81862
0.00376224,0.0372898,,0.00376224,4.87554
0.00377224,0.0372891,,0.00377224,4.89965
0.00378026,0.0372885,,0.00378026,4.90743
0.00378811,0.0372879,,0.00378811,4.91303
0.00379761,0.0372872,,0.00379761,4.91838
0.00380761,0.0372864,,0.00380761,4.92295
0.00381761,0.0372857,,0.00381761,4.92678
0.00382711,0.037285,,0.00382711,4.92993
0.00383711,0.0372842,,0.00383711,4.93285
0.00384711,0.0372835,,0.00384711,4.93544
0.00385711,0.0372827,,0.00385711,4.93778
0.00386711,0.037282,,0.00386711,4.9399
0.00387711,0.0372813,,0.00387711,4.94183
0.00388711,0.0372805,,0.00388711,4.94361
0.00389711,0.0372798,,0.00389711,4.94526
0.00390711,0.037279,,0.00390711,4.94679
0.00391711,0.0372783,,0.00391711,4.94821
0.00392711,0.0372776,,0.00392711,4.94954
0.00393711,0.0372768,,0.00393711,4.95079
0.00394711,0.0372761,,0.00394711,4.95197
0.00395711,0.0372753,,0.00395711,4.95308
0.00396711,0.0372746,,0.00396711,4.95413
0.00397711,0.0372739,,0.00397711,4.95512
0.00398711,0.0372731,,0.00398711,4.95606
0.00399711,0.0372724,,0.00399711,4.95696
0.00400711,0.0372717,,0.00400711,4.95781
0.00401711,0.0372709,,0.00401711,4.95863
0.00402711,0.0372702,,0.00402711,4.95941
0.00403711,0.0372695,,0.00403711,4.96015
0.00404711,0.0372687,,0.00404711,4.96086
0.00405711,0.037268,,0.00405711,4.96154
0.00406711,0.0372673,,0.00406711,4.9622
0.00407711,0.0372666,,0.00407711,4.96283
0.00408711,0.0372658,,0.00408711,4.96343
0.00409711,0.0372651,,0.00409711,4.96401
0.00410711,0.0372644,,0.00410711,4.96457
0.00411711,0.0372637,,0.00411711,4.96512
0.00412711,0.0372629,,0.00412711,4.96564
0.00413711,0.0372622,,0.00413711,4.96614
0.00414711,0.0372615,,0.00414711,4.96663
0.00415711,0.0372608,,0.00415711,4.9671
0.00416711,0.03726,,0.00416711,4.96755
0.00417711,0.0372593,,0.00417711,4.96799
0.00418711,0.0372586,,0.00418711,4.96842
0.00419711,0.0372579,,0.00419711,4.96883
0.00420711,0.0372572,,0.00420711,4.96924
0.00421711,0.0372564,,0.00421711,4.96962
0.00422711,0.0372557,,0.00422711,4.97
0.00423711,0.037255,,0.00423711,4.97037
0.00424711,0.0372543,,0.00424711,4.97073
0.00425711,0.0372536,,0.00425711,4.97107
0.00426711,0.0372529,,0.00426711,4.97141
0.00427711,0.0372521,,0.00427711,4.97174
0.00428711,0.0372514,,0.00428711,4.97206
0.00429711,0.0372507,,0.00429711,4.97237
0.00430711,0.03725,,0.00430711,4.97267
0.00431711,0.0372493,,0.00431711,4.97297
0.00432711,0.0372486,,0.00432711,4.97326
0.00433711,0.0372479,,0.00433711,4.97354
0.00434711,0.0372472,,0.00434711,4.97381
0.00435711,0.0372465,,0.00435711,4.97408
0.00436711,0.0372458,,0.00436711,4.97434
0.00437711,0.037245,,0.00437711,4.97459
0.00438711,0.0372443,,0.00438711,4.97484
0.00439711,0.0372436,,0.00439711,4.97509
0.00440711,0.0372429,,0.00440711,4.97532
0.00441711,0.0372422,,0.00441711,4.97556
0.00442711,0.0372415,,0.00442711,4.97578
0.00443711,0.0372408,,0.00443711,4.97601
0.00444711,0.0372401,,0.00444711,4.97622
